Date : 2026-01-01 16:03:52
Directory : d:\CV\Project-Web-Real-Madrid-V3
Total : 152 files,  28462 codes, 1231 comments, 3152 blanks, all 32845 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\tickets.js                                       | JavaScript         |         21 |          3 |          8 |         32 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\upload.js                                        | JavaScript         |         50 |          9 |         10 |         69 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\users.js                                         | JavaScript         |         19 |          3 |          4 |         26 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\users.profile.js                                 | JavaScript         |         45 |          4 |          7 |         56 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\wallet.admin.js                                  | JavaScript         |         75 |         11 |         15 |        101 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\wallet.freeze.js                                 | JavaScript         |         54 |          8 |         11 |         73 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\wallet.js                                        | JavaScript         |        152 |         10 |         13 |        175 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\services\membership.js                                  | JavaScript         |        152 |         21 |         27 |        200 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\services\payments.js                                    | JavaScript         |         64 |          9 |          9 |         82 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\services\ticket.js                                      | JavaScript         |         21 |          1 |          4 |         26 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\services\wallet.js                                      | JavaScript         |      1,033 |        113 |        147 |      1,293 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\utils\ffmpeg.js                                         | JavaScript         |         56 |          8 |          7 |         71 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\utils\validators.js                                     | JavaScript         |          0 |          0 |          1 |          1 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\README.md                                                  | Markdown           |         18 |          0 |         12 |         30 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\index.html                                                 | HTML               |         13 |          0 |          4 |         17 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\jsconfig.json                                              | JSON with Comments |          8 |          0 |          1 |          9 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\package-lock.json                                          | JSON               |      3,493 |          0 |          1 |      3,494 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\package.json                                               | JSON               |         31 |          0 |          1 |         32 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\App.vue                                                | vue                |         62 |          4 |         18 |         84 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\api\api.js                                             | JavaScript         |          6 |          0 |          3 |          9 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\api\eventGreetings.api.js                              | JavaScript         |         16 |          2 |          6 |         24 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\api\events.api.js                                      | JavaScript         |         17 |          9 |          5 |         31 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\assets\data\palmares.json                              | JSON               |         88 |          0 |          4 |         92 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\FooterBar.vue                               | vue                |        104 |          6 |         18 |        128 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\HlsPlayer.vue                               | vue                |         59 |          0 |          9 |         68 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\MatchScoreboard.vue                         | vue                |        139 |          5 |         30 |        174 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\MembershipCard.vue                          | vue                |        141 |          4 |         24 |        169 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\NavBar.vue                                  | vue                |        256 |          7 |         63 |        326 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\NotificationBell.vue                        | vue                |         47 |          1 |          6 |         54 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\SponsorsSection.vue                         | vue                |         59 |          2 |          6 |         67 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\ToastHost.vue                               | vue                |         74 |          0 |         12 |         86 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\admin\AddGreetingModal.vue                  | vue                |         38 |          0 |          8 |         46 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\admin\EventEditModal.vue                    | vue                |         72 |          6 |         20 |         98 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\admin\EventStatusBadge.vue                  | vue                |         13 |          0 |          2 |         15 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\admin\GreetingListModal.vue                 | vue                |        149 |          9 |         22 |        180 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasBanner.vue        | vue                |         67 |          0 |         10 |         77 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasGiftAnimation.vue | vue                |        250 |          3 |         49 |        302 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasGiftBox.vue       | vue                |         63 |          2 |         15 |         80 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasGreetingModal.vue | vue                |        147 |          0 |         22 |        169 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasLights.vue        | vue                |         69 |          0 |         13 |         82 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasMusic.vue         | vue                |         41 |          0 |         11 |         52 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasSides.vue         | vue                |         49 |          2 |          8 |         59 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\SnowEffect.vue             | vue                |         47 |          0 |          8 |         55 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\composables\useToast.js                                | JavaScript         |         13 |          1 |          3 |         17 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\events\EventProvider.vue                               | vue                |         82 |          2 |         15 |         99 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\events\index.js                                        | JavaScript         |          0 |          0 |          1 |          1 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\events\useEvent.js                                     | JavaScript         |         27 |          8 |          7 |         42 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\events\useGreeting.js                                  | JavaScript         |         27 |         16 |          7 |         50 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\main.js                                                | JavaScript         |         17 |          1 |          5 |         23 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\CartDetail.vue                                   | vue                |        138 |          2 |         16 |        156 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Home.vue                                         | vue                |      1,822 |         46 |        294 |      2,162 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Login.vue                                        | vue                |        108 |          3 |         11 |        122 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Matches.vue                                      | vue                |        197 |          6 |         45 |        248 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\MyTickets.vue                                    | vue                |        111 |          2 |         11 |        124 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\News.vue                                         | vue                |        147 |          4 |         18 |        169 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\NewsDetail.vue                                   | vue                |         64 |          1 |         15 |         80 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Register.vue                                     | vue                |         94 |          1 |         11 |        106 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Shop.vue                                         | vue                |        775 |         15 |        111 |        901 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Tickets.vue                                      | vue                |        392 |          8 |         78 |        478 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\WalletBalance.vue                                | vue                |         95 |          1 |         11 |        107 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\AdminDashboard.vue                         | vue                |        228 |         13 |         30 |        271 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\EventsPage.vue                             | vue                |        187 |          7 |         30 |        224 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\HighlightsUpload.vue                       | vue                |        139 |          1 |         22 |        162 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageHighlights.vue                       | vue                |        200 |          4 |         14 |        218 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageMatches.vue                          | vue                |        315 |          5 |         61 |        381 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageNews.vue                             | vue                |        248 |          5 |         33 |        286 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageOrders.vue                           | vue                |        237 |          2 |         22 |        261 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManagePlayers.vue                          | vue                |        940 |         13 |        101 |      1,054 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageProducts.vue                         | vue                |        209 |          3 |         23 |        235 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageTickets.vue                          | vue                |        217 |          2 |         25 |        244 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageUsers.vue                            | vue                |        112 |          1 |         16 |        129 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\MatchForm.vue                              | vue                |        228 |          9 |         26 |        263 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\WalletAdmin.vue                            | vue                |         89 |          0 |         20 |        109 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\wallet\AdminCashback.vue                   | vue                |         39 |          0 |          3 |         42 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\wallet\AdminWithdrawals.vue                | vue                |         67 |          0 |          7 |         74 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\highlights\HighlightDetail.vue                   | vue                |        121 |          5 |         18 |        144 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\highlights\HighlightsList.vue                    | vue                |         95 |          0 |         14 |        109 |
