"filename", "language", "JSON", "JavaScript", "Markdown", "PostCSS", "vue", "MS SQL", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\ToastHost.vue", "vue", 0, 0, 0, 0, 74, 0, 0, 0, 0, 12, 86
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\admin\AddGreetingModal.vue", "vue", 0, 0, 0, 0, 38, 0, 0, 0, 0, 8, 46
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\admin\EventEditModal.vue", "vue", 0, 0, 0, 0, 72, 0, 0, 0, 6, 20, 98
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\admin\EventStatusBadge.vue", "vue", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\admin\GreetingListModal.vue", "vue", 0, 0, 0, 0, 149, 0, 0, 0, 9, 22, 180
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasBanner.vue", "vue", 0, 0, 0, 0, 67, 0, 0, 0, 0, 10, 77
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasGiftAnimation.vue", "vue", 0, 0, 0, 0, 250, 0, 0, 0, 3, 49, 302
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasGiftBox.vue", "vue", 0, 0, 0, 0, 63, 0, 0, 0, 2, 15, 80
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasGreetingModal.vue", "vue", 0, 0, 0, 0, 147, 0, 0, 0, 0, 22, 169
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasLights.vue", "vue", 0, 0, 0, 0, 69, 0, 0, 0, 0, 13, 82
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasMusic.vue", "vue", 0, 0, 0, 0, 41, 0, 0, 0, 0, 11, 52
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\ChristmasSides.vue", "vue", 0, 0, 0, 0, 49, 0, 0, 0, 2, 8, 59
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\events\christmas\SnowEffect.vue", "vue", 0, 0, 0, 0, 47, 0, 0, 0, 0, 8, 55
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\composables\useToast.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
